event,begin,end
Champions_League,2017-08-22 20:45:00,2017-08-22 22:30:00
Champions_League,2017-08-22 20:45:00,2017-08-22 22:30:00
Champions_League,2017-08-22 20:45:00,2017-08-22 22:30:00
Champions_League,2017-08-23 20:45:00,2017-08-23 22:30:00
Champions_League,2017-08-23 20:45:00,2017-08-23 22:30:00
Champions_League,2017-08-23 20:45:00,2017-08-23 22:30:00
Champions_League,2017-08-23 20:45:00,2017-08-23 22:30:00
Champions_League,2017-08-23 20:45:00,2017-08-23 22:30:00
Champions_League,2017-09-12 20:45:00,2017-09-12 22:30:00
Champions_League,2017-09-12 20:45:00,2017-09-12 22:30:00
Champions_League,2017-09-12 20:45:00,2017-09-12 22:30:00
Champions_League,2017-09-12 20:45:00,2017-09-12 22:30:00
Champions_League,2017-09-12 20:45:00,2017-09-12 22:30:00
Champions_League,2017-09-12 20:45:00,2017-09-12 22:30:00
Champions_League,2017-09-12 20:45:00,2017-09-12 22:30:00
Champions_League,2017-09-12 20:45:00,2017-09-12 22:30:00
Champions_League,2017-09-13 20:45:00,2017-09-13 22:30:00
Champions_League,2017-09-13 20:45:00,2017-09-13 22:30:00
Champions_League,2017-09-13 20:45:00,2017-09-13 22:30:00
Champions_League,2017-09-13 20:45:00,2017-09-13 22:30:00
Champions_League,2017-09-13 20:45:00,2017-09-13 22:30:00
Champions_League,2017-09-13 20:45:00,2017-09-13 22:30:00
Champions_League,2017-09-13 20:45:00,2017-09-13 22:30:00
Champions_League,2017-09-13 20:45:00,2017-09-13 22:30:00
Champions_League,2017-09-26 20:45:00,2017-09-26 22:30:00
Champions_League,2017-09-26 20:45:00,2017-09-26 22:30:00
Champions_League,2017-09-26 20:45:00,2017-09-26 22:30:00
Champions_League,2017-09-26 20:45:00,2017-09-26 22:30:00
Champions_League,2017-09-26 20:45:00,2017-09-26 22:30:00
Champions_League,2017-09-26 20:45:00,2017-09-26 22:30:00
Champions_League,2017-09-26 20:45:00,2017-09-26 22:30:00
Champions_League,2017-09-26 20:45:00,2017-09-26 22:30:00
Champions_League,2017-09-27 18:00:00,2017-09-27 19:45:00
Champions_League,2017-09-27 20:45:00,2017-09-27 22:30:00
Champions_League,2017-09-27 20:45:00,2017-09-27 22:30:00
Champions_League,2017-09-27 20:45:00,2017-09-27 22:30:00
Champions_League,2017-09-27 20:45:00,2017-09-27 22:30:00
Champions_League,2017-09-27 20:45:00,2017-09-27 22:30:00
Champions_League,2017-09-27 20:45:00,2017-09-27 22:30:00
Champions_League,2017-09-27 20:45:00,2017-09-27 22:30:00
Champions_League,2017-10-17 20:45:00,2017-10-17 22:30:00
Champions_League,2017-10-17 20:45:00,2017-10-17 22:30:00
Champions_League,2017-10-17 20:45:00,2017-10-17 22:30:00
Champions_League,2017-10-17 20:45:00,2017-10-17 22:30:00
Champions_League,2017-10-17 20:45:00,2017-10-17 22:30:00
Champions_League,2017-10-17 20:45:00,2017-10-17 22:30:00
Champions_League,2017-10-17 20:45:00,2017-10-17 22:30:00
Champions_League,2017-10-17 20:45:00,2017-10-17 22:30:00
Champions_League,2017-10-18 18:00:00,2017-10-18 19:45:00
Champions_League,2017-10-18 20:45:00,2017-10-18 22:30:00
Champions_League,2017-10-18 20:45:00,2017-10-18 22:30:00
Champions_League,2017-10-18 20:45:00,2017-10-18 22:30:00
Champions_League,2017-10-18 20:45:00,2017-10-18 22:30:00
Champions_League,2017-10-18 20:45:00,2017-10-18 22:30:00
Champions_League,2017-10-18 20:45:00,2017-10-18 22:30:00
Champions_League,2017-10-18 20:45:00,2017-10-18 22:30:00
Champions_League,2017-10-31 20:45:00,2017-10-31 22:30:00
Champions_League,2017-10-31 20:45:00,2017-10-31 22:30:00
Champions_League,2017-10-31 20:45:00,2017-10-31 22:30:00
Champions_League,2017-10-31 20:45:00,2017-10-31 22:30:00
Champions_League,2017-10-31 20:45:00,2017-10-31 22:30:00
Champions_League,2017-10-31 20:45:00,2017-10-31 22:30:00
Champions_League,2017-10-31 20:45:00,2017-10-31 22:30:00
Champions_League,2017-10-31 20:45:00,2017-10-31 22:30:00
Champions_League,2017-11-01 18:00:00,2017-11-01 19:45:00
Champions_League,2017-11-01 20:45:00,2017-11-01 22:30:00
Champions_League,2017-11-01 20:45:00,2017-11-01 22:30:00
Champions_League,2017-11-01 20:45:00,2017-11-01 22:30:00
Champions_League,2017-11-01 20:45:00,2017-11-01 22:30:00
Champions_League,2017-11-01 20:45:00,2017-11-01 22:30:00
Champions_League,2017-11-01 20:45:00,2017-11-01 22:30:00
Champions_League,2017-11-01 20:45:00,2017-11-01 22:30:00
Champions_League,2017-11-21 18:00:00,2017-11-21 19:45:00
Champions_League,2017-11-21 18:00:00,2017-11-21 19:45:00
Champions_League,2017-11-21 20:45:00,2017-11-21 22:30:00
Champions_League,2017-11-21 20:45:00,2017-11-21 22:30:00
Champions_League,2017-11-21 20:45:00,2017-11-21 22:30:00
Champions_League,2017-11-21 20:45:00,2017-11-21 22:30:00
Champions_League,2017-11-21 20:45:00,2017-11-21 22:30:00
Champions_League,2017-11-21 20:45:00,2017-11-21 22:30:00
Champions_League,2017-11-22 18:00:00,2017-11-22 19:45:00
Champions_League,2017-11-22 18:00:00,2017-11-22 19:45:00
Champions_League,2017-11-22 20:45:00,2017-11-22 22:30:00
Champions_League,2017-11-22 20:45:00,2017-11-22 22:30:00
Champions_League,2017-11-22 20:45:00,2017-11-22 22:30:00
Champions_League,2017-11-22 20:45:00,2017-11-22 22:30:00
Champions_League,2017-11-22 20:45:00,2017-11-22 22:30:00
Champions_League,2017-11-22 20:45:00,2017-11-22 22:30:00
Champions_League,2017-12-05 20:45:00,2017-12-05 22:30:00
Champions_League,2017-12-05 20:45:00,2017-12-05 22:30:00
Champions_League,2017-12-05 20:45:00,2017-12-05 22:30:00
Champions_League,2017-12-05 20:45:00,2017-12-05 22:30:00
Champions_League,2017-12-05 20:45:00,2017-12-05 22:30:00
Champions_League,2017-12-05 20:45:00,2017-12-05 22:30:00
